Car_No,Time,Longitude,Latitude,Unknown-0,Unknown-1,Unknown,Resources,Request
1,2008-02-02 15:36:08,116.51172,39.92123,0,0,0,4,7
1,2008-02-08 15:51:31,116.54723,39.90841,0,0,0,27,7
10,2008-02-02 13:32:03,116.44457,39.92157,0,0,0,15,8
10,2008-02-08 17:38:00,116.38552,39.90773,0,0,0,20,6
100,2008-02-02 18:44:59,116.46956,39.87211,0,0,0,36,8
100,2008-02-08 15:29:22,116.46995,39.87237,0,0,0,30,16
1000,2008-02-02 13:34:52,116.48361,39.94491,0,0,0,18,19
1000,2008-02-08 17:30:07,116.50681,39.86693,0,0,0,33,2
10000,2008-02-02 13:39:48,116.35924,39.93669,0,0,0,37,10
10000,2008-02-08 17:37:33,116.41895,39.9529,0,0,0,6,11
10001,2008-02-02 13:34:36,116.30375,39.93778,0,0,0,38,3
10001,2008-02-08 14:00:40,116.33062,39.96628,0,0,0,16,8
10002,2008-02-02 13:40:13,116.41106,39.92823,0,0,0,29,2
10002,2008-02-08 17:34:47,116.41108,39.92748,0,0,0,5,9
10003,2008-02-02 13:40:04,116.42528,39.93222,0,0,0,36,18
10003,2008-02-08 17:38:48,117.00037,40.55757,0,0,0,26,18
10004,2008-02-03 09:21:37,116.58327,40.11703,0,0,0,22,10
10004,2008-02-08 11:12:17,116.70022,40.19261,0,0,0,31,16
10005,2008-02-02 13:48:51,116.48391,39.93892,0,0,0,12,17
10005,2008-02-08 17:39:11,116.3602,39.88549,0,0,0,32,15
10006,2008-02-02 13:37:16,116.54249,39.9156,0,0,0,10,1
10006,2008-02-08 17:36:59,116.43143,39.90716,0,0,0,15,20
10007,2008-02-02 13:39:17,116.24692,39.90822,0,0,0,29,2
10007,2008-02-08 17:37:11,116.08434,39.75484,0,0,0,14,1
10008,2008-02-02 13:31:44,116.25009,39.90629,0,0,0,20,6
10008,2008-02-08 13:20:21,116.194,39.84922,0,0,0,34,1
10009,2008-02-02 13:35:32,116.26601,39.95253,0,0,0,37,7
10009,2008-02-08 17:38:21,116.73784,39.86064,0,0,0,36,0
1001,2008-02-02 13:38:39,116.42116,39.83864,0,0,0,33,7
1001,2008-02-08 16:47:43,116.55334,39.72639,0,0,0,32,19
10010,2008-02-02 13:39:27,116.56454,40.07188,0,0,0,27,7
10010,2008-02-08 17:36:51,116.45462,39.89699,0,0,0,21,19
10011,2008-02-02 13:33:43,116.4561,39.90561,0,0,0,33,18
10011,2008-02-08 17:37:49,116.56413,40.07126,0,0,0,24,17
10012,2008-02-02 13:33:43,116.46235,39.88151,0,0,0,40,2
10012,2008-02-08 17:39:04,116.46294,39.98318,0,0,0,27,9
10013,2008-02-02 13:35:40,116.48,39.95784,0,0,0,11,1
10013,2008-02-07 17:57:23,116.42743,39.84551,0,0,0,18,14
10014,2008-02-02 13:37:28,116.47312,39.91909,0,0,0,7,12
10014,2008-02-08 17:36:44,116.47308,39.91905,0,0,0,19,10
10015,2008-02-02 13:40:45,116.34893,39.95121,0,0,0,29,8
10015,2008-02-08 14:03:18,115.91937,39.96079,0,0,0,9,16
10016,2008-02-02 13:40:31,116.34943,39.92949,0,0,0,40,20
10016,2008-02-08 17:36:20,116.08075,39.96845,0,0,0,33,5
10017,2008-02-02 13:37:28,116.3945,39.97309,0,0,0,11,15
10017,2008-02-08 17:37:27,116.35707,39.89318,0,0,0,34,9
10018,2008-02-02 13:37:21,116.36999,39.93262,0,0,0,31,12
10018,2008-02-08 17:39:15,116.36952,39.93271,0,0,0,15,2
10019,2008-02-02 16:15:05,116.32449,39.82922,0,0,0,34,1
10019,2008-02-08 01:57:10,116.28946,39.83392,0,0,0,1,4
1002,2008-02-02 13:33:25,116.33548,39.90586,0,0,0,17,15
1002,2008-02-08 17:12:12,116.54959,40.06731,0,0,0,27,14
10020,2008-02-02 15:40:18,116.28207,39.91945,0,0,0,32,1
10020,2008-02-08 17:36:25,116.28223,39.91898,0,0,0,36,16
10021,2008-02-02 13:37:51,116.38489,39.8989,0,0,0,37,5
10021,2008-02-08 17:37:20,116.40489,39.90715,0,0,0,34,10
10022,2008-02-02 13:36:27,116.3854,39.85403,0,0,0,35,13
10022,2008-02-08 17:37:23,116.41918,39.89214,0,0,0,5,3
10023,2008-02-02 13:34:04,116.5127,39.97629,0,0,0,33,11
10023,2008-02-08 17:25:24,116.56444,40.07185,0,0,0,6,5
10024,2008-02-02 13:36:43,116.43007,39.90152,0,0,0,34,8
10024,2008-02-08 17:36:51,116.43962,39.57587,0,0,0,9,12
10025,2008-02-02 17:57:19,116.3149,40.07012,0,0,0,3,4
10025,2008-02-08 12:27:00,116.26641,40.13058,0,0,0,7,9
10026,2008-02-02 13:38:37,116.3506,39.90013,0,0,0,6,14
10026,2008-02-08 17:37:57,116.47985,39.92238,0,0,0,38,5
10027,2008-02-02 14:04:48,116.50482,39.80965,0,0,0,38,15
10027,2008-02-08 15:55:06,116.57698,39.72046,0,0,0,24,9
10028,2008-02-02 13:39:38,116.40763,39.91987,0,0,0,38,6
10028,2008-02-08 17:35:51,116.3372,39.80865,0,0,0,23,9
10029,2008-02-02 13:36:38,116.54161,39.75752,0,0,0,30,20
10029,2008-02-08 17:36:23,116.37163,39.90622,0,0,0,3,3
1003,2008-02-02 13:31:39,116.35475,39.94944,0,0,0,29,11
1003,2008-02-08 13:23:57,116.35487,39.95005,0,0,0,28,13
10030,2008-02-02 13:31:14,116.41501,39.84441,0,0,0,39,7
10030,2008-02-08 17:38:17,116.36053,39.88785,0,0,0,33,10
10031,2008-02-02 13:38:50,116.41482,39.95557,0,0,0,33,18
10031,2008-02-08 17:38:19,116.35244,39.864,0,0,0,9,12
10032,2008-02-02 13:49:51,116.27984,39.82344,0,0,0,37,6
10032,2008-02-08 17:38:08,116.29586,39.8112,0,0,0,12,10
10033,2008-02-02 13:36:06,116.10387,39.96109,0,0,0,27,8
10033,2008-02-08 17:34:33,116.18289,39.90949,0,0,0,30,3
10034,2008-02-02 13:44:52,116.48947,39.9707,0,0,0,14,16
10034,2008-02-08 17:37:39,116.6299,40.06087,0,0,0,33,3
10035,2008-02-02 13:37:11,116.42585,39.92828,0,0,0,32,12
10035,2008-02-08 17:36:48,116.4724,40.0102,0,0,0,17,8
10036,2008-02-02 13:36:18,116.5708,40.03838,0,0,0,5,16
10036,2008-02-08 17:30:07,116.43414,39.8978,0,0,0,15,8
10037,2008-02-02 13:42:25,116.37378,39.83962,0,0,0,34,10
10037,2008-02-08 17:36:15,116.37445,39.84046,0,0,0,7,15
10038,2008-02-02 13:37:14,116.47621,39.95653,0,0,0,28,11
10038,2008-02-08 17:36:15,116.8481,40.3698,0,0,0,23,19
10039,2008-02-02 13:48:49,116.51704,40.01651,0,0,0,6,0
10039,2008-02-08 14:06:56,116.43389,39.80455,0,0,0,0,16
1004,2008-02-02 14:53:01,116.36623,39.98633,0,0,0,17,14
1004,2008-02-08 17:18:50,116.25885,40.1375,0,0,0,5,6
10040,2008-02-02 13:40:30,116.28947,39.88828,0,0,0,23,17
10040,2008-02-08 17:34:58,116.37369,39.85547,0,0,0,19,8
10041,2008-02-02 13:32:02,116.5501,39.91482,0,0,0,38,6
10041,2008-02-08 17:35:20,116.45087,39.88645,0,0,0,29,6
10042,2008-02-02 13:40:10,116.35417,39.95652,0,0,0,35,0
10042,2008-02-08 17:34:41,115.64819,39.14159,0,0,0,39,16
10043,2008-02-06 09:27:33,116.41921,39.9399,0,0,0,7,8
10043,2008-02-06 17:01:45,116.41941,39.9403,0,0,0,33,19
10044,2008-02-02 13:36:02,116.40824,39.98746,0,0,0,0,16
10044,2008-02-08 17:37:16,116.3809,39.85906,0,0,0,6,12
10045,2008-02-02 13:33:52,116.29432,40.05419,0,0,0,39,16
10045,2008-02-08 17:36:22,116.56539,40.07193,0,0,0,15,8
10046,2008-02-02 13:38:44,116.31407,39.77936,0,0,0,39,14
10046,2008-02-08 17:38:57,116.5864,40.0772,0,0,0,1,8
10047,2008-02-02 13:36:58,116.46604,39.91442,0,0,0,14,16
10047,2008-02-08 17:35:28,116.45086,39.98583,0,0,0,0,12
10048,2008-02-02 13:38:03,116.30406,39.91347,0,0,0,25,17
10048,2008-02-08 17:30:36,116.43843,39.95674,0,0,0,12,5
10049,2008-02-04 10:56:12,116.20387,39.82346,0,0,0,3,1
10049,2008-02-08 17:35:47,116.20392,39.82348,0,0,0,24,6
1005,2008-02-03 19:52:18,116.49172,39.892,0,0,0,24,7
1005,2008-02-08 17:37:23,116.08053,39.674,0,0,0,9,14
10050,2008-02-02 13:31:37,116.42832,39.92681,0,0,0,31,11
10050,2008-02-08 17:39:03,116.42476,39.89213,0,0,0,26,1
10051,2008-02-02 13:39:29,116.08822,39.94842,0,0,0,2,19
10051,2008-02-08 17:21:20,116.08043,39.96846,0,0,0,29,8
10052,2008-02-02 13:38:25,116.39777,39.81231,0,0,0,2,0
10052,2008-02-08 17:36:39,116.46292,39.9143,0,0,0,38,3
10053,2008-02-02 13:37:46,116.33902,39.92197,0,0,0,12,5
10053,2008-02-08 16:00:59,116.48919,39.96879,0,0,0,27,11
10054,2008-02-02 13:38:11,116.00424,40.35436,0,0,0,11,1
10054,2008-02-08 17:38:51,116.38,39.96851,0,0,0,29,1
10055,2008-02-02 13:34:19,116.3139,39.96865,0,0,0,11,4
10055,2008-02-08 17:36:02,117.03569,40.22685,0,0,0,30,9
10056,2008-02-02 13:36:24,116.22482,39.89879,0,0,0,30,13
10056,2008-02-08 17:37:35,116.22483,39.89885,0,0,0,24,18
10057,2008-02-03 09:00:31,116.43915,39.96242,0,0,0,16,17
10057,2008-02-08 08:21:00,116.3165,39.89208,0,0,0,38,0
10058,2008-02-02 13:33:35,116.30169,39.96186,0,0,0,4,7
10058,2008-02-08 17:37:48,116.39824,40.00293,0,0,0,39,0
10059,2008-02-02 13:35:30,116.34827,39.99204,0,0,0,21,12
10059,2008-02-08 17:36:39,116.34996,39.9257,0,0,0,39,0
1006,2008-02-02 13:37:28,116.31961,39.88581,0,0,0,7,17
1006,2008-02-08 17:36:15,116.68542,39.97241,0,0,0,3,5
10060,2008-02-02 13:37:34,116.34835,39.89706,0,0,0,20,10
10060,2008-02-08 17:35:35,116.40574,39.90924,0,0,0,25,2
10061,2008-02-02 13:32:07,116.33675,39.88435,0,0,0,26,12
10061,2008-02-08 17:36:21,116.25605,39.97252,0,0,0,25,20
10062,2008-02-02 13:34:25,116.35013,39.94482,0,0,0,6,4
